id,screen_name,created_at,text
1104084081028018178,RosieBarton,Fri Mar 08 18:18:52 +0000 2019,b'RT @BrennanMac: SNC-Lavalin loses bid for judicial review of prosecution decision https://t.co/jM6hEpFL6Y'
1104083511814828033,RosieBarton,Fri Mar 08 18:16:36 +0000 2019,"b""RT @CBCAlerts: Here's an official copy of the 'Statement of Apology on Behalf of the Government of Canada to Inuit for the Management of th\xe2\x80\xa6"""
1104083016937291776,RosieBarton,Fri Mar 08 18:14:38 +0000 2019,"b""RT @CBCTheNational: Prime Minister Justin Trudeau apologized Friday for the federal government's mistreatment of Inuit with tuberculosis in\xe2\x80\xa6"""
1104074538277572608,RosieBarton,Fri Mar 08 17:40:57 +0000 2019,"b'RT @CBCPolitics: Andrew Scheer speaks to reporters in Rosser, Man. https://t.co/czTzdk1TsC #hw #cdnpoli https://t.co/TvG5199N79'"
1104060682511794176,RosieBarton,Fri Mar 08 16:45:53 +0000 2019,"b""Trudeau apologizes for 'colonial,' 'purposeful' mistreatment of Inuit with tuberculosis\nhttps://t.co/bxpeI6CyAc https://t.co/FOfAjnLhTz"""
1104060640396746753,RosieBarton,Fri Mar 08 16:45:43 +0000 2019,"b""'There was a heaviness': Alberta anthropologists locate unmarked graves of residential schoolchildren\xe2\x80\xa6 https://t.co/qxrC1BXLto"""
1104060533412675586,RosieBarton,Fri Mar 08 16:45:18 +0000 2019,b'SNC-Lavalin loses bid for judicial review of prosecution decision\nhttps://t.co/0ebszLrpL1 https://t.co/Zm5NPKmKe8'
1104047316883902465,RosieBarton,Fri Mar 08 15:52:47 +0000 2019,"b""RT @ShachiKurl: Did you miss the At Issue gang @RosieBarton @ChantalHbert @acoyne &amp; me parse the PM's statement on SNC and assorted mess? N\xe2\x80\xa6"""
1104038619654832130,RosieBarton,Fri Mar 08 15:18:13 +0000 2019,b'RT @CBCTheNational: Prime Minister Trudeau was able to land in Iqaluit Friday morning to deliver the apology. You can watch that here: http\xe2\x80\xa6'
1104026380453462016,RosieBarton,Fri Mar 08 14:29:35 +0000 2019,b'RT @CBCPolitics: Trudeau to deliver tuberculosis apology to Inuit following weather delay https://t.co/DEzWDgPZeY #hw #cdnpoli https://t.co\xe2\x80\xa6'
